codusu,nro_hogar,ch04,ch06,ch07,ch08,nivel_ed,estado,cat_inac,ipcf
143386  ,2.0,2,45.0,5,4,2,1,0.0,400.0
143574  ,1.0,1,63.0,2,1,5,1,0.0,266.6666666666667
143574  ,1.0,2,62.0,2,1,4,3,4,266.6666666666667
143574  ,1.0,1,27.0,5,1,3,3,7,266.6666666666667
143770  ,1.0,2,64.0,3,1,4,3,1,162.5
143770  ,1.0,2,28.0,5,4,5,2,0.0,162.5
143770  ,1.0,1,26.0,5,4,4,2,0.0,162.5
143770  ,1.0,1,0,5,1,7,4,5,162.5
143786  ,1.0,1,31.0,1,1,3,1,0.0,466.6666666666667
143786  ,1.0,2,29.0,1,1,4,1,0.0,466.6666666666667
143786  ,1.0,2,1.0,5,1,7,4,5,466.6666666666667
144358  ,1.0,2,74.0,4,1,1,3,1,230.0
144461  ,1.0,2,62.0,3,2,6,1,0.0,1442.0
144640  ,1.0,1,34.0,5,4,4,1,0.0,500.0
145155  ,1.0,1,69.0,4,1,2,3,1,860.0
145199  ,1.0,2,72.0,4,1,3,3,1,605.0
145435  ,1.0,1,70.0,2,1,4,1,0.0,555.0
145435  ,1.0,2,66.0,2,1,4,3,1,555.0
145441  ,1.0,1,77.0,2,1,6,2,0.0,530.0
145441  ,1.0,2,75.0,2,1,6,3,1,530.0
145530  ,1.0,1,87.0,2,1,1,3,1,270.0
145530  ,1.0,2,89.0,2,1,7,3,4,270.0
145699  ,1.0,1,35.0,2,4,5,1,0.0,200.0
145699  ,1.0,2,31.0,2,2,5,3,4,200.0
145699  ,1.0,2,7.0,5,2,1,4,3,200.0
145699  ,1.0,1,5.0,5,2,7,4,5,200.0
145699  ,1.0,2,4.0,5,2,7,4,5,200.0
145699  ,1.0,2,0,5,2,7,4,5,200.0
145724  ,1.0,1,71.0,5,1,2,3,1,560.0
145724  ,1.0,2,63.0,5,1,2,1,0.0,560.0
145724  ,1.0,2,75.0,5,1,2,3,1,560.0
145792  ,1.0,1,41.0,2,1,2,1,0.0,400.0
145792  ,1.0,2,40.0,2,1,3,1,0.0,400.0
145792  ,1.0,1,19.0,5,1,3,1,0.0,400.0
145792  ,1.0,1,16.0,5,1,3,3,3,400.0
